Date,Open,High,Low,Close,Adj Close,Volume
2014-11-19,189.710007,189.990005,188.190002,189.190002,175.923492,2260100
2014-11-20,187.820007,189.860001,187.550003,189.750000,176.444214,2850000
2014-11-21,191.520004,191.660004,189.369995,189.589996,176.295486,2367900
2014-11-24,190.139999,190.889999,189.669998,190.070007,176.741791,2028800
2014-11-25,190.500000,190.500000,188.199997,188.860001,175.616638,3677900
2014-11-26,189.919998,189.919998,187.729996,188.520004,175.300461,2024000
2014-11-28,188.399994,189.490005,188.119995,188.410004,175.757568,1195200
2014-12-01,188.000000,188.619995,185.589996,188.199997,175.561676,2469000
2014-12-02,189.309998,190.940002,188.809998,190.190002,177.418045,3116100
2014-12-03,189.750000,191.820007,189.330002,190.949997,178.126999,3049600
2014-12-04,190.779999,192.339996,189.960007,191.949997,179.059845,3123400
2014-12-05,192.720001,196.929993,192.539993,195.449997,182.324799,3625500
2014-12-08,195.449997,198.059998,194.509995,196.619995,183.416199,2715000
2014-12-09,193.690002,197.220001,192.899994,196.889999,183.668106,4568400
2014-12-10,195.479996,195.990005,191.600006,192.000000,179.106461,6506700
2014-12-11,193.000000,194.940002,192.500000,193.539993,180.543045,3179500
2014-12-12,191.710007,192.639999,188.070007,188.820007,176.140015,3838900
2014-12-15,190.240005,190.809998,185.410004,185.539993,173.080261,4729100
2014-12-16,183.960007,186.929993,182.399994,183.309998,171.000046,4181900
2014-12-17,184.110001,186.500000,183.630005,185.029999,172.604523,5074800
2014-12-18,188.000000,191.660004,187.809998,191.610001,178.742661,4209600
2014-12-19,192.259995,195.000000,192.029999,193.279999,180.300522,4798200
2014-12-22,193.919998,194.500000,192.759995,194.440002,181.382629,3056400
2014-12-23,195.339996,196.100006,194.729996,195.500000,182.371460,2346100
2014-12-24,196.610001,196.750000,195.009995,195.889999,182.735245,694200
2014-12-26,196.089996,196.490005,195.399994,195.449997,182.324799,1016300
2014-12-29,195.570007,196.960007,194.820007,196.190002,183.015121,1219900
2014-12-30,195.500000,196.500000,194.580002,195.710007,182.567352,1136200
2014-12-31,196.649994,196.830002,193.770004,193.830002,180.813599,1566800
2015-01-02,195.300003,195.729996,192.699997,194.410004,181.354660,1877700
2015-01-05,193.059998,194.039993,187.479996,188.339996,175.692245,3413200
2015-01-06,188.300003,188.660004,183.929993,184.529999,172.138107,3429200
2015-01-07,186.850006,187.990005,185.770004,187.279999,174.703430,1896800
2015-01-08,189.350006,190.820007,189.250000,190.270004,177.492661,1962500
2015-01-09,190.479996,191.309998,186.960007,187.350006,174.768753,1980700
2015-01-12,187.360001,187.529999,184.110001,185.070007,172.641846,2084200
2015-01-13,186.580002,189.380005,183.369995,184.929993,172.511230,2745300
2015-01-14,181.179993,182.509995,178.100006,180.229996,168.126892,5204700
2015-01-15,180.179993,181.600006,177.500000,178.490005,166.503723,3146000
2015-01-16,176.729996,180.100006,174.059998,177.229996,165.328354,5124100
2015-01-20,177.570007,178.330002,174.229996,175.630005,163.835815,3606600
2015-01-21,174.550003,178.389999,172.820007,177.149994,165.253723,3737000
2015-01-22,178.809998,182.589996,177.250000,182.039993,169.815369,6228200
2015-01-23,181.429993,182.979996,180.419998,180.490005,168.369446,3123800
2015-01-26,178.720001,180.990005,178.059998,180.419998,168.304092,2736500
2015-01-27,177.240005,178.639999,176.300003,176.490005,164.638031,3335600
2015-01-28,177.729996,177.970001,172.970001,173.050003,161.429031,3017300
2015-01-29,173.179993,176.300003,173.070007,175.990005,164.171646,2421400
2015-01-30,174.130005,175.690002,172.320007,172.410004,160.832047,3037400
2015-02-02,172.990005,175.600006,172.259995,175.490005,163.705200,2975300
2015-02-03,176.009995,180.479996,175.910004,180.240005,168.136215,3766900
2015-02-04,178.720001,180.710007,178.529999,178.779999,166.774277,2980500
2015-02-05,179.440002,181.600006,179.229996,180.770004,168.630630,2434400
2015-02-06,182.050003,184.619995,181.139999,183.429993,171.111954,3250900
2015-02-09,181.690002,182.949997,181.149994,182.220001,169.983261,2421900
2015-02-10,183.350006,184.800003,182.350006,184.559998,172.166107,2556300
2015-02-11,184.070007,188.190002,183.750000,187.649994,175.048584,4079600
2015-02-12,188.250000,190.000000,187.399994,189.779999,177.035553,3086700
2015-02-13,189.869995,191.330002,188.339996,189.000000,176.307953,2720400
2015-02-17,188.779999,190.630005,188.309998,190.020004,177.259445,2123300
2015-02-18,189.539993,190.039993,187.820007,188.669998,176.000076,1850700
